entry_id,line_no,date,posted_ts,account,account_name,department,description,debit,credit,source_system,user
JE202500030,1,2025-01-01,2025-01-01 17:50:00,1000,Cash - Operating,G&A,Service revenue,21881.02,0.0,ERP,spatel
JE202500030,2,2025-01-01,2025-01-01 17:50:00,4100,Service Revenue,Sales,Service revenue,0.0,21881.02,ERP,spatel
JE202500041,1,2025-01-01,2025-01-01 14:20:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,39570.44,0.0,ERP,SYSTEM
JE202500041,2,2025-01-01,2025-01-01 14:20:00,1200,Inventory,G&A,COGS - inventory relief,0.0,39570.44,ERP,SYSTEM
JE202500055,1,2025-01-01,2025-01-01 16:20:00,1200,Inventory,G&A,Inventory purchase - on account,78166.27,0.0,ERP,jchen
JE202500055,2,2025-01-01,2025-01-01 16:20:00,2000,Accounts Payable,G&A,Inventory purchase - on account,0.0,78166.27,ERP,jchen
JE202500059,1,2025-01-01,2025-01-01 13:10:00,1200,Inventory,G&A,Inventory purchase - on account,61967.69,0.0,ERP,mlopez
JE202500059,2,2025-01-01,2025-01-01 13:10:00,2000,Accounts Payable,G&A,Inventory purchase - on account,0.0,61967.69,ERP,mlopez
JE202500007,1,2025-01-02,2025-01-02 15:50:00,1000,Cash - Operating,G&A,Product sale - cash,38626.36,0.0,ERP,kkim
JE202500007,2,2025-01-02,2025-01-02 15:50:00,4000,Product Revenue,Sales,Product sale - cash,0.0,38626.36,ERP,kkim
JE202500013,1,2025-01-02,2025-01-02 11:00:00,1100,Accounts Receivable,G&A,Product sale - on account,54936.65,0.0,ERP,kkim
JE202500013,2,2025-01-02,2025-01-02 11:00:00,4000,Product Revenue,Sales,Product sale - on account,0.0,54936.65,ERP,kkim
JE202500044,1,2025-01-02,2025-01-02 13:00:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,51891.94,0.0,ERP,jchen
JE202500044,2,2025-01-02,2025-01-02 13:00:00,1200,Inventory,G&A,COGS - inventory relief,0.0,51891.94,ERP,jchen
JE202500031,1,2025-01-03,2025-01-03 08:15:00,1000,Cash - Operating,G&A,Service revenue,26079.44,0.0,ERP,jchen
JE202500031,2,2025-01-03,2025-01-03 08:15:00,4100,Service Revenue,Sales,Service revenue,0.0,26079.44,ERP,jchen
JE202500032,1,2025-01-03,2025-01-03 16:15:00,1000,Cash - Operating,G&A,Service revenue,43267.0,0.0,ERP,mlopez
JE202500032,2,2025-01-03,2025-01-03 16:15:00,4100,Service Revenue,Sales,Service revenue,0.0,43267.0,ERP,mlopez
JE202500038,1,2025-01-03,2025-01-03 15:50:00,4900,Sales Returns & Allowances,Sales,Customer refund / allowance,15634.78,0.0,ERP,jchen
JE202500038,2,2025-01-03,2025-01-03 15:50:00,1000,Cash - Operating,G&A,Customer refund / allowance,0.0,15634.78,ERP,jchen
JE202500046,1,2025-01-03,2025-01-03 10:05:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,63234.23,0.0,ERP,dwright
JE202500046,2,2025-01-03,2025-01-03 10:05:00,1200,Inventory,G&A,COGS - inventory relief,0.0,63234.23,ERP,dwright
JE202500005,1,2025-01-06,2025-01-06 14:30:00,1000,Cash - Operating,G&A,Product sale - cash,54628.89,0.0,ERP,spatel
JE202500005,2,2025-01-06,2025-01-06 14:30:00,4000,Product Revenue,Sales,Product sale - cash,0.0,54628.89,ERP,spatel
JE202500022,1,2025-01-06,2025-01-06 16:05:00,1100,Accounts Receivable,G&A,Product sale - on account,61527.38,0.0,ERP,mlopez
JE202500022,2,2025-01-06,2025-01-06 16:05:00,4000,Product Revenue,Sales,Product sale - on account,0.0,61527.38,ERP,mlopez
JE202500065,1,2025-01-06,2025-01-06 14:00:00,6100,Marketing & Advertising,Marketing,Marketing & Advertising expense,39000.25,0.0,ERP,spatel
JE202500065,2,2025-01-06,2025-01-06 14:00:00,1000,Cash - Operating,G&A,Marketing & Advertising expense,0.0,39000.25,ERP,spatel
JE202500888,1,2025-01-06,2025-01-06 09:20:00,6500,Professional Fees,G&A,Consulting services,100000.0,0.0,ERP,afarrell
JE202500888,2,2025-01-06,2025-01-06 09:20:00,1000,Cash - Operating,G&A,Consulting services,0.0,100000.0,ERP,afarrell
JE202500014,1,2025-01-07,2025-01-07 17:30:00,1000,Cash - Operating,G&A,Product sale - cash,38730.61,0.0,ERP,kkim
JE202500014,2,2025-01-07,2025-01-07 17:30:00,4000,Product Revenue,Sales,Product sale - cash,0.0,38730.61,ERP,kkim
JE202500028,1,2025-01-07,2025-01-07 16:15:00,1100,Accounts Receivable,G&A,Product sale - on account,43761.59,0.0,ERP,kkim
JE202500028,2,2025-01-07,2025-01-07 16:15:00,4000,Product Revenue,Sales,Product sale - on account,0.0,43761.59,ERP,kkim
JE202500034,1,2025-01-07,2025-01-07 09:05:00,1000,Cash - Operating,G&A,Service revenue,41865.52,0.0,ERP,afarrell
JE202500034,2,2025-01-07,2025-01-07 09:05:00,4100,Service Revenue,Sales,Service revenue,0.0,41865.52,ERP,afarrell
JE202500043,1,2025-01-07,2025-01-07 12:15:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,56030.23,0.0,ERP,jchen
JE202500043,2,2025-01-07,2025-01-07 12:15:00,1200,Inventory,G&A,COGS - inventory relief,0.0,56030.23,ERP,jchen
JE202500050,1,2025-01-07,2025-01-07 13:15:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,62459.27,0.0,ERP,mlopez
JE202500050,2,2025-01-07,2025-01-07 13:15:00,1200,Inventory,G&A,COGS - inventory relief,0.0,62459.27,ERP,mlopez
JE202500073,1,2025-01-07,2025-01-07 12:00:00,6500,Professional Fees,G&A,Professional Fees expense,29173.41,0.0,ERP,afarrell
JE202500073,2,2025-01-07,2025-01-07 12:00:00,1000,Cash - Operating,G&A,Professional Fees expense,0.0,29173.41,ERP,afarrell
JE202500003,1,2025-01-08,2025-01-08 16:00:00,1000,Cash - Operating,G&A,Product sale - cash,33095.88,0.0,ERP,afarrell
JE202500003,2,2025-01-08,2025-01-08 16:00:00,4000,Product Revenue,Sales,Product sale - cash,0.0,33095.88,ERP,afarrell
JE202500009,1,2025-01-08,2025-01-08 12:05:00,1100,Accounts Receivable,G&A,Product sale - on account,31546.06,0.0,ERP,SYSTEM
JE202500009,2,2025-01-08,2025-01-08 12:05:00,4000,Product Revenue,Sales,Product sale - on account,0.0,31546.06,ERP,SYSTEM
JE202500048,1,2025-01-08,2025-01-08 17:00:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,62664.06,0.0,ERP,dwright
JE202500048,2,2025-01-08,2025-01-08 17:00:00,1200,Inventory,G&A,COGS - inventory relief,0.0,62664.06,ERP,dwright
JE202500010,1,2025-01-09,2025-01-09 15:30:00,1000,Cash - Operating,G&A,Product sale - cash,33332.42,0.0,ERP,mlopez
JE202500010,2,2025-01-09,2025-01-09 15:30:00,4000,Product Revenue,Sales,Product sale - cash,0.0,33332.42,ERP,mlopez
JE202500012,1,2025-01-09,2025-01-09 16:15:00,1100,Accounts Receivable,G&A,Product sale - on account,45028.17,0.0,ERP,SYSTEM
JE202500012,2,2025-01-09,2025-01-09 16:15:00,4000,Product Revenue,Sales,Product sale - on account,0.0,45028.17,ERP,SYSTEM
JE202500056,1,2025-01-09,2025-01-09 09:05:00,1200,Inventory,G&A,Inventory purchase - on account,90400.28,0.0,ERP,spatel
JE202500056,2,2025-01-09,2025-01-09 09:05:00,2000,Accounts Payable,G&A,Inventory purchase - on account,0.0,90400.28,ERP,spatel
JE202500058,1,2025-01-09,2025-01-09 08:05:00,1200,Inventory,G&A,Inventory purchase - on account,71787.78,0.0,ERP,SYSTEM
JE202500058,2,2025-01-09,2025-01-09 08:05:00,2000,Accounts Payable,G&A,Inventory purchase - on account,0.0,71787.78,ERP,SYSTEM
JE202500069,1,2025-01-09,2025-01-09 09:20:00,6300,Software & IT,G&A,Software & IT expense,37074.01,0.0,ERP,mlopez
JE202500069,2,2025-01-09,2025-01-09 09:20:00,1000,Cash - Operating,G&A,Software & IT expense,0.0,37074.01,ERP,mlopez
JE202500071,1,2025-01-09,2025-01-09 10:20:00,6400,Travel & Entertainment,Sales,Travel & Entertainment expense,6101.07,0.0,ERP,jchen
JE202500071,2,2025-01-09,2025-01-09 10:20:00,1000,Cash - Operating,G&A,Travel & Entertainment expense,0.0,6101.07,ERP,jchen
JE202500021,1,2025-01-10,2025-01-10 14:10:00,1000,Cash - Operating,G&A,Product sale - cash,50813.64,0.0,ERP,afarrell
JE202500021,2,2025-01-10,2025-01-10 14:10:00,4000,Product Revenue,Sales,Product sale - cash,0.0,50813.64,ERP,afarrell
JE202500042,1,2025-01-10,2025-01-10 14:50:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,58013.38,0.0,ERP,afarrell
JE202500042,2,2025-01-10,2025-01-10 14:50:00,1200,Inventory,G&A,COGS - inventory relief,0.0,58013.38,ERP,afarrell
JE202500076,1,2025-01-10,2025-01-10 16:20:00,6900,Other Operating Expense,G&A,Other Operating Expense expense,7369.19,0.0,ERP,afarrell
JE202500076,2,2025-01-10,2025-01-10 16:20:00,1000,Cash - Operating,G&A,Other Operating Expense expense,0.0,7369.19,ERP,afarrell
JE202500006,1,2025-01-13,2025-01-13 09:30:00,1100,Accounts Receivable,G&A,Product sale - on account,33371.56,0.0,ERP,dwright
JE202500006,2,2025-01-13,2025-01-13 09:30:00,4000,Product Revenue,Sales,Product sale - on account,0.0,33371.56,ERP,dwright
JE202500004,1,2025-01-14,2025-01-14 11:45:00,1000,Cash - Operating,G&A,Product sale - cash,52767.9,0.0,ERP,SYSTEM
JE202500004,2,2025-01-14,2025-01-14 11:45:00,4000,Product Revenue,Sales,Product sale - cash,0.0,52767.9,ERP,SYSTEM
JE202500037,1,2025-01-14,2025-01-14 10:20:00,4900,Sales Returns & Allowances,Sales,Customer refund / allowance,11787.75,0.0,ERP,kkim
JE202500037,2,2025-01-14,2025-01-14 10:20:00,1000,Cash - Operating,G&A,Customer refund / allowance,0.0,11787.75,ERP,kkim
JE202500062,1,2025-01-14,2025-01-14 10:00:00,6000,Salaries & Wages,G&A,Payroll run,154843.4,0.0,ERP,SYSTEM
JE202500062,2,2025-01-14,2025-01-14 10:00:00,1000,Cash - Operating,G&A,Payroll run,0.0,154843.4,ERP,SYSTEM
JE202500066,1,2025-01-14,2025-01-14 11:20:00,6100,Marketing & Advertising,Marketing,Marketing & Advertising expense,35947.59,0.0,ERP,spatel
JE202500066,2,2025-01-14,2025-01-14 11:20:00,1000,Cash - Operating,G&A,Marketing & Advertising expense,0.0,35947.59,ERP,spatel
JE202500019,1,2025-01-15,2025-01-15 16:20:00,1100,Accounts Receivable,G&A,Product sale - on account,49354.39,0.0,ERP,SYSTEM
JE202500019,2,2025-01-15,2025-01-15 16:20:00,4000,Product Revenue,Sales,Product sale - on account,0.0,49354.39,ERP,SYSTEM
JE202500035,1,2025-01-15,2025-01-15 08:05:00,4900,Sales Returns & Allowances,Sales,Customer refund / allowance,10505.71,0.0,ERP,jchen
JE202500035,2,2025-01-15,2025-01-15 08:05:00,1000,Cash - Operating,G&A,Customer refund / allowance,0.0,10505.71,ERP,jchen
JE202500054,1,2025-01-15,2025-01-15 16:20:00,1200,Inventory,G&A,Inventory purchase - on account,62324.35,0.0,ERP,SYSTEM
JE202500054,2,2025-01-15,2025-01-15 16:20:00,2000,Accounts Payable,G&A,Inventory purchase - on account,0.0,62324.35,ERP,SYSTEM
JE202500026,1,2025-01-16,2025-01-16 09:50:00,1100,Accounts Receivable,G&A,Product sale - on account,32835.53,0.0,ERP,spatel
JE202500026,2,2025-01-16,2025-01-16 09:50:00,4000,Product Revenue,Sales,Product sale - on account,0.0,32835.53,ERP,spatel
JE202500040,1,2025-01-16,2025-01-16 11:40:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,46756.8,0.0,ERP,jchen
JE202500040,2,2025-01-16,2025-01-16 11:40:00,1200,Inventory,G&A,COGS - inventory relief,0.0,46756.8,ERP,jchen
JE202500017,1,2025-01-17,2025-01-17 15:05:00,1100,Accounts Receivable,G&A,Product sale - on account,41782.13,0.0,ERP,SYSTEM
JE202500017,2,2025-01-17,2025-01-17 15:05:00,4000,Product Revenue,Sales,Product sale - on account,0.0,41782.13,ERP,SYSTEM
JE202500023,1,2025-01-17,2025-01-17 17:15:00,1000,Cash - Operating,G&A,Product sale - cash,57311.55,0.0,ERP,SYSTEM
JE202500023,2,2025-01-17,2025-01-17 17:15:00,4000,Product Revenue,Sales,Product sale - cash,0.0,57311.55,ERP,SYSTEM
JE202500029,1,2025-01-17,2025-01-17 15:05:00,1000,Cash - Operating,G&A,Service revenue,31936.13,0.0,ERP,spatel
JE202500029,2,2025-01-17,2025-01-17 15:05:00,4100,Service Revenue,Sales,Service revenue,0.0,31936.13,ERP,spatel
JE202500045,1,2025-01-17,2025-01-17 16:10:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,52040.48,0.0,ERP,jchen
JE202500045,2,2025-01-17,2025-01-17 16:10:00,1200,Inventory,G&A,COGS - inventory relief,0.0,52040.48,ERP,jchen
JE202500052,1,2025-01-20,2025-01-20 17:05:00,1200,Inventory,G&A,Inventory purchase - paid,50488.83,0.0,ERP,spatel
JE202500052,2,2025-01-20,2025-01-20 17:05:00,1000,Cash - Operating,G&A,Inventory purchase - paid,0.0,50488.83,ERP,spatel
JE202500057,1,2025-01-20,2025-01-20 11:30:00,1200,Inventory,G&A,Inventory purchase - paid,61781.71,0.0,ERP,afarrell
JE202500057,2,2025-01-20,2025-01-20 11:30:00,1000,Cash - Operating,G&A,Inventory purchase - paid,0.0,61781.71,ERP,afarrell
JE202500015,1,2025-01-21,2025-01-21 15:10:00,1000,Cash - Operating,G&A,Product sale - cash,58704.12,0.0,ERP,spatel
JE202500015,2,2025-01-21,2025-01-21 15:10:00,4000,Product Revenue,Sales,Product sale - cash,0.0,58704.12,ERP,spatel
JE202500018,1,2025-01-21,2025-01-21 10:40:00,1000,Cash - Operating,G&A,Product sale - cash,33612.39,0.0,ERP,kkim
JE202500018,2,2025-01-21,2025-01-21 10:40:00,4000,Product Revenue,Sales,Product sale - cash,0.0,33612.39,ERP,kkim
JE202500051,1,2025-01-21,2025-01-21 12:45:00,1200,Inventory,G&A,Inventory purchase - paid,55707.93,0.0,ERP,SYSTEM
JE202500051,2,2025-01-21,2025-01-21 12:45:00,1000,Cash - Operating,G&A,Inventory purchase - paid,0.0,55707.93,ERP,SYSTEM
JE202500020,1,2025-01-22,2025-01-22 09:50:00,1100,Accounts Receivable,G&A,Product sale - on account,60573.7,0.0,ERP,SYSTEM
JE202500020,2,2025-01-22,2025-01-22 09:50:00,4000,Product Revenue,Sales,Product sale - on account,0.0,60573.7,ERP,SYSTEM
JE202500049,1,2025-01-22,2025-01-22 17:50:00,5000,Cost of Goods Sold,Operations,COGS - inventory relief,37113.72,0.0,ERP,mlopez
JE202500049,2,2025-01-22,2025-01-22 17:50:00,1200,Inventory,G&A,COGS - inventory relief,0.0,37113.72,ERP,mlopez
JE202500074,1,2025-01-22,2025-01-22 11:30:00,6600,Depreciation,Operations,Monthly depreciation,26124.3,0.0,ERP,SYSTEM
JE202500074,2,2025-01-22,2025-01-22 11:30:00,1200,Inventory,G&A,Monthly depreciation,0.0,26124.3,ERP,SYSTEM
JE202500075,1,2025-01-22,2025-01-22 13:30:00,6900,Other Operating Expense,G&A,Other Operating Expense expense,6277.56,0.0,ERP,afarrell
JE202500075,2,2025-01-22,2025-01-22 13:30:00,1000,Cash - Operating,G&A,Other Operating Expense expense,0.0,6277.56,ERP,afarrell
JE202500011,1,2025-01-23,2025-01-23 09:10:00,1000,Cash - Operating,G&A,Product sale - cash,51759.42,0.0,ERP,spatel
JE202500011,2,2025-01-23,2025-01-23 09:10:00,4000,Product Revenue,Sales,Product sale - cash,0.0,51759.42,ERP,spatel
JE202500060,1,2025-01-23,2025-01-23 14:50:00,6000,Salaries & Wages,G&A,Payroll run,151631.68,0.0,ERP,SYSTEM
JE202500060,2,2025-01-23,2025-01-23 14:50:00,1000,Cash - Operating,G&A,Payroll run,0.0,151631.68,ERP,SYSTEM
JE202500001,1,2025-01-24,2025-01-24 12:15:00,1000,Cash - Operating,G&A,Product sale - cash,33666.84,0.0,ERP,afarrell
JE202500001,2,2025-01-24,2025-01-24 12:15:00,4000,Product Revenue,Sales,Product sale - cash,0.0,33666.84,ERP,afarrell
JE202500016,1,2025-01-24,2025-01-24 17:40:00,1100,Accounts Receivable,G&A,Product sale - on account,47511.89,0.0,ERP,kkim
JE202500016,2,2025-01-24,2025-01-24 17:40:00,4000,Product Revenue,Sales,Product sale - on account,0.0,47511.89,ERP,kkim
JE202500033,1,2025-01-24,2025-01-24 17:45:00,1000,Cash - Operating,G&A,Service revenue,33207.94,0.0,ERP,spatel
JE202500033,2,2025-01-24,2025-01-24 17:45:00,4100,Service Revenue,Sales,Service revenue,0.0,33207.94,ERP,spatel
JE202500072,1,2025-01-24,2025-01-24 13:40:00,6400,Travel & Entertainment,Sales,Travel & Entertainment expense,5381.2,0.0,ERP,dwright
JE202500072,2,2025-01-24,2025-01-24 13:40:00,1000,Cash - Operating,G&A,Travel & Entertainment expense,0.0,5381.2,ERP,dwright
JE202500008,1,2025-01-27,2025-01-27 17:30:00,1000,Cash - Operating,G&A,Product sale - cash,47934.82,0.0,ERP,afarrell
JE202500008,2,2025-01-27,2025-01-27 17:30:00,4000,Product Revenue,Sales,Product sale - cash,0.0,47934.82,ERP,afarrell
JE202500039,1,2025-01-27,2025-01-27 08:05:00,4900,Sales Returns & Allowances,Sales,Customer refund / allowance,13105.65,0.0,ERP,SYSTEM
JE202500039,2,2025-01-27,2025-01-27 08:05:00,1000,Cash - Operating,G&A,Customer refund / allowance,0.0,13105.65,ERP,SYSTEM
JE202500068,1,2025-01-27,2025-01-27 11:15:00,6200,Rent & Facilities,G&A,Rent & Facilities expense,26507.75,0.0,ERP,jchen
JE202500068,2,2025-01-27,2025-01-27 11:15:00,1000,Cash - Operating,G&A,Rent & Facilities expense,0.0,26507.75,ERP,jchen
JE202500070,1,2025-01-27,2025-01-27 16:30:00,6400,Travel & Entertainment,Sales,Travel & Entertainment expense,4875.84,0.0,ERP,jchen
JE202500070,2,2025-01-27,2025-01-27 16:30:00,1000,Cash - Operating,G&A,Travel & Entertainment expense,0.0,4875.84,ERP,jchen
